melhor,medio,pior
2,78,100
3,3,98
4,77,98
6,37,97
7,50,95
8,100,94
9,69,93
12,83,92
13,95,92
13,84,85
17,26,84
17,76,83
18,9,81
20,13,78
21,81,77
23,64,76
23,23,69
25,30,68
26,17,64
29,39,64
29,39,63
30,53,62
37,85,58
37,55,58
38,63,55
39,68,53
39,43,50
39,25,44
42,13,43
43,29,43
43,4,43
43,92,42
44,93,39
50,43,39
53,92,39
55,17,38
58,37,37
58,62,37
62,6,30
63,12,29
64,23,29
64,43,26
68,58,25
69,21,23
76,42,23
77,29,21
78,8,20
81,97,18
83,39,17
84,64,17
85,98,13
92,44,13
92,98,12
93,58,9
94,2,8
95,38,7
97,18,6
98,20,4
98,94,3
100,7,2
