melhor,medio,pior
0,2,97
1,51,93
2,23,91
2,91,89
7,39,88
7,60,87
7,25,87
7,0,87
8,87,87
8,23,86
9,89,86
10,9,86
10,60,85
11,46,82
13,59,82
16,13,79
17,33,79
22,86,79
23,36,77
23,82,76
23,38,76
23,31,75
24,31,75
25,79,70
26,49,66
26,11,65
27,22,63
27,30,63
28,87,60
28,76,60
28,87,60
30,55,59
30,42,59
31,59,59
31,10,58
33,26,55
34,1,53
35,16,53
36,86,53
38,97,51
38,58,49
39,2,48
40,35,47
42,60,46
45,53,46
46,93,45
46,53,42
47,23,40
48,17,39
49,38,38
51,65,38
53,7,36
53,23,35
53,7,34
55,30,33
58,87,31
59,53,31
59,66,30
59,75,30
60,7,28
60,7,28
60,47,28
63,8,27
63,63,27
65,26,26
66,76,26
70,8,25
75,63,24
75,46,23
76,27,23
76,79,23
77,79,23
79,48,22
79,27,17
79,28,16
82,34,13
82,88,11
85,24,10
86,70,10
86,40,9
86,77,8
87,59,8
87,85,7
87,10,7
87,28,7
88,45,7
89,75,2
91,82,2
93,28,1
97,86,0
