melhor,medio,pior
2,10,100
7,19,100
10,16,99
11,99,99
11,16,98
13,17,95
16,89,94
16,71,93
16,43,91
17,42,89
19,69,87
19,62,84
20,68,84
21,44,84
21,48,83
24,61,81
27,93,76
27,98,72
30,19,71
34,55,69
34,30,68
35,24,68
38,34,64
39,35,64
39,84,63
42,72,62
42,64,62
42,56,61
43,52,60
43,94,57
44,13,56
45,100,55
48,68,55
49,11,52
49,83,50
50,38,49
52,42,49
55,20,48
55,39,45
56,64,44
57,21,43
60,99,43
61,55,42
62,43,42
62,91,42
63,84,39
64,11,39
64,42,38
68,60,35
68,50,34
69,49,34
71,2,30
72,27,27
76,27,27
81,76,24
83,49,21
84,95,21
84,87,20
84,57,19
87,45,19
89,34,17
91,63,16
93,7,16
94,39,16
95,16,13
98,81,11
99,100,11
99,84,10
100,21,7
100,62,2
